venta_id,venta_venta,venta_fecha,venta_ganancia,venta_usuario,venta_articulo,venta_estado
93,VEN-Pendiente_Paco-VINATA,2026-08-10,7445.00,1,,Concluida
92,VEN-20260810_120538-VINATA,2026-08-10,247.98,1,,Concluida
91,VEN-Pendiente_Rosa-VINATA,2026-08-10,150.00,1,,Pendiente
86,VEN-20260809_213449-VINATA,2026-07-07,3739.99,1,,Concluida
85,VEN-Pendiente_Luis-VINATA,2026-07-06,1599.96,1,,Concluida
84,VEN-Pendiente_Miguel-VINATA,2026-07-05,4945.70,1,,Concluida
83,VEN-Pendiente_Hector-VINATA,2026-06-01,860.49,1,,Concluida
82,VEN-20260809_211815-VINATA,2026-06-28,299.99,1,,Concluida
81,VEN-20260809_211802-VINATA,2026-05-12,1487.98,1,,Concluida
80,VEN-20260809_211734-VINATA,2026-05-12,5914.14,1,,Concluida
79,VEN-20260809_211514-VINATA,2026-04-12,3731.19,1,,Concluida
78,VEN-20260809_211428-VINATA,2026-03-25,9481.00,1,,Concluida
77,VEN-20260809_211350-VINATA,2026-02-10,509.96,1,,Concluida
76,VEN-20260809_211250-VINATA,2026-01-20,3298.90,1,,Concluida
75,VEN-20260809_211005-VINATA,2026-01-19,1369.96,1,,Concluida
