venta_id,venta_venta,venta_fecha,venta_ganancia,venta_usuario,venta_articulo,venta_estado
49,VEN-20260803_125427-VINATA,2026-08-03,6481.80,1,[73],Concluida
48,VEN-20260803_125318-VINATA,2026-08-03,42.00,1,[8],Concluida
47,VEN-20260803_115215-VINATA,2026-08-03,4800.00,1,[38],Concluida
46,VEN-20260803_085537-VINATA,2026-08-03,720.20,1,[73],Concluida
45,VEN-20260802_214311-VINATA,2026-08-02,799.92,1,[77],Concluida
43,VEN-20260802_165006-VINATA,2026-08-02,7202.00,1,[73],Concluida
42,VEN-20260731_183429-VINATA,2026-07-31,1279713.38,1,"[37, 48]",Concluida
41,VEN-20260731_183122-VINATA,2026-07-31,4800.00,1,[38],Concluida
40,VEN-20260731_175105-VINATA,2026-07-31,7393.00,1,"[44, 52]",Concluida
39,VEN-20260731_174535-VINATA,2026-07-31,12115.00,1,[44],Concluida
38,VEN-20260731_171640-VINATA,2026-07-31,372.00,1,[52],Concluida
37,VEN-20260731_143907-VINATA,2026-07-31,9999.95,1,[51],Concluida
36,VEN-20260731_130142-VINATA,2026-07-31,89.99,1,[37],Concluida
35,VEN-20260731_102536-VINATA,2026-06-30,49999995.00,1,[50],Concluida
34,VEN-20260731_102350-VINATA,2026-07-31,12115.00,1,[44],Concluida
33,VEN-20260731_102212-VINATA,2026-06-30,12.42,1,[40],Concluida
32,VEN-20260731_102043-VINATA,2026-07-31,12.42,1,[40],Concluida
31,VEN-20260730_211317-VINATA,2026-07-30,62.10,1,[40],Concluida
30,VEN-Prueba_stock_guargar-VINATA,2026-07-30,62.10,1,[40],Pendiente
28,VEN-20260730_190955-VINATA,2026-07-30,3951.01,1,"[40, 43, 50]",Concluida
25,VEN-PENDIENTE_2-VINATA,2026-07-30,3115.41,1,"[40, 43, 50, 8]",Concluida
24,VEN-PENDIENTE_1-VINATA,2026-07-30,5619.43,1,"[1, 37, 50]",Concluida
23,VEN-20260730_153650-VINATA,2026-07-30,9701.09,1,"[37, 38, 46, 50, 44]",Concluida
21,VEN-20260730_133223-VINATA,2026-07-30,3633.10,1,"[38, 46, 44]",Concluida
20,VEN-Prueba-1_Continuar-VINATA,2026-07-30,6110.19,1,"[37, 38, 46]",Pendiente
19,VEN-20260729_192025-VINATA,2026-07-29,1739.94,1,"[37, 38]",Concluida
18,VEN-20260729_131340-VINATA,2026-07-29,2090.49,1,"[1, 37]",Concluida
17,VEN-Paco-VINATA,2026-07-29,2000.50,1,[1],Pendiente
15,VEN-20260728_Editado-VINATA,2026-08-28,1279173.44,1,[48],Concluida
13,VEN-20260728_214736-VINATA,2026-07-28,2423.00,1,[44],Concluida
12,VEN-20260728_214326-VINATA,2026-07-28,14.00,1,[8],Concluida
11,VEN-20260728_191145-VINATA,2026-07-28,89.99,1,[37],Concluida
10,VEN-editado-VINATA,2026-06-28,10.10,1,[46],Concluida
